,comune,provincia,popolazione,superficie,altitudine,istat,lon,lat
204,Misilmeri,Palermo,27 570,"69,49",129,82048,13.45154671,38.0351406
205,Misterbianco,Catania,47 356,"37,68",213,87029,15.00637221,37.52084469
206,Mistretta,Messina,5 014,"127,47",900,83052,14.36235493,37.93048648
207,Modica,Ragusa,53 959,"292,37",296,88006,14.76136035,36.85884699
208,Mojo Alcantara,Messina,756,"8,60",538,,,
209,Monforte San Giorgio,Messina,2 880,"32,26",287,83054,15.38351724,38.15686649
210,Mongiuffi Melia,Messina,653,"24,36",375,83055,15.27493092,37.90419803
211,Monreale,Palermo,38 018,"530,18",310,82049,13.29170019,38.0823269
212,Montagnareale,Messina,1 631,"16,38",328,83056,14.94770863,38.13246075
213,Montalbano Elicona,Messina,2 420,"67,80",920,83057,15.01413113,38.02371254
214,Montallegro,Agrigento,2 543,"27,41",100,84024,13.35067955,37.39108905
215,Montedoro,Caltanissetta,1 643,"14,53",450,85011,13.81637743,37.4537366
216,Montelepre,Palermo,6 421,"9,89",343,82050,13.17326674,38.08979235
217,Montemaggiore Belsito,Palermo,3 566,"32,08",517,82051,13.76257765,37.84789269
218,Monterosso Almo,Ragusa,3 183,"56,55",691,88007,14.76256834,37.08888285
219,Montevago,Agrigento,3 015,"32,91",380,84025,12.99017731,37.70262274
220,Motta Camastra,Messina,882,"25,31",453,83058,15.17250433,37.89568789
221,Motta d'Affermo,Messina,828,"14,58",660,83059,14.30206148,37.98129062
222,Motta Sant'Anastasia,Catania,11 394,"35,71",275,87030,14.96976761,37.5121011
223,Mussomeli,Caltanissetta,11 010,"164,43",726,85012,13.75402582,37.58022427
224,Naro,Agrigento,8 103,"207,49",500,84026,13.79204148,37.29606377
225,Naso,Messina,4 015,"36,74",490,83060,14.78820006,38.12194429
226,Nicolosi,Catania,7 156,"42,65",700,87031,15.02671373,37.61413944
227,Nicosia,Enna,14 272,"218,51",724,86012,14.39854731,37.74805212
228,Niscemi,Caltanissetta,27 975,"96,82",332,85013,14.38503985,37.14528117
229,Nissoria,Enna,2 969,"61,83",691,86013,14.44936356,37.65515695
230,Nizza di Sicilia,Messina,3 723,"13,42",9,83061,15.40794343,37.98886
231,Noto,Siracusa,23 704,"554,99",152,89013,15.06670248,36.89169626
232,Novara di Sicilia,Messina,1 413,"49,18",650,83062,15.13193797,38.01624974
233,Oliveri,Messina,2 157,"10,43",2,83063,15.05947815,38.12463376
234,Pace del Mela,Messina,6 388,"12,18",114,83064,15.30570478,38.18012927
235,Paceco,Trapani,11 487,"58,01",36,81013,12.55709849,37.98109237
236,Pachino,Siracusa,22 068,"50,98",65,89014,15.09315194,36.71608657
237,Pagliara,Messina,1 230,"14,48",200,83065,15.35949936,37.98658779
238,Palagonia,Catania,16 540,"57,79",200,87032,14.74576385,37.32765928
239,Palazzo Adriano,Palermo,2 227,"130,10",696,82052,13.37965852,37.68162495
240,Palazzolo Acreide,Siracusa,9 091,"87,54",670,89015,14.90382617,37.06188027
241,Palermo,Palermo,657 651,"160,59",14,82053,13.36235675,38.11569725
242,Palma di Montechiaro,Agrigento,23 643,"77,06",155,84027,13.7636752,37.19167642
243,Pantelleria,Trapani,7 493,"84,53",5,81014,11.94474454,36.83189316
244,Partanna,Trapani,10 854,"82,73",414,81015,12.88966372,37.7213966
245,Partinico,Palermo,31 401,"108,06",175,82054,13.11521899,38.0480822
246,Paternò,Catania,47 870,"144,68",225,87033,14.90251867,37.57696713
247,Patti,Messina,13 325,"50,08",157,83066,14.96403605,38.13978414
248,Pedara,Catania,12 896,"19,23",610,87034,15.06021594,37.61720408
249,Petralia Soprana,Palermo,3 443,"56,10",1 147,82055,14.10825065,37.79634285
250,Petralia Sottana,Palermo,2 975,"178,35",1 000,82056,14.09221617,37.805943
251,Petrosino,Trapani,7 760,"45,28",13,81024,12.49232372,37.71276653
252,Pettineo,Messina,1 433,"30,62",300,83067,14.29122447,37.96661363
253,Piana degli Albanesi,Palermo,6 010,"64,92",720,82057,13.28199289,37.99447148
254,Piazza Armerina,Enna,22 196,"304,54",697,86014,14.36603607,37.38420844
255,Piedimonte Etneo,Catania,4 079,"26,54",348,87035,15.17821412,37.80766824
256,Pietraperzia,Enna,7 227,"118,11",476,86015,14.13691358,37.42163431
257,Piraino,Messina,3 964,"16,97",415,83068,14.86316622,38.16189942
258,Poggioreale,Trapani,1 534,"37,46",189,81016,13.03394289,37.76214589
259,Polizzi Generosa,Palermo,3 607,"134,66",920,82058,13.99947177,37.81291089
260,Pollina,Palermo,2 998,"49,93",730,82059,14.14658207,37.99424976
261,Porto Empedocle,Agrigento,16 841,"25,23",2,84028,13.52746716,37.28846526
262,Portopalo di Capo Passero,Siracusa,3 749,"15,09",20,89020,15.13396638,36.68332543
263,Pozzallo,Ragusa,18 929,"15,38",20,88008,14.84615608,36.72659325
264,Priolo Gargallo,Siracusa,12 167,"56,92",30,89021,15.18829357,37.15941965
265,Prizzi,Palermo,5 055,"95,04",966,82060,13.4309912,37.72165331
266,Racalmuto,Agrigento,8 345,"68,10",445,84029,13.73141734,37.40771285
267,Raccuja,Messina,1 139,"25,20",640,83069,14.91065006,38.05561324
268,Raddusa,Catania,3 280,"23,39",350,87036,14.5317315,37.47291883
269,Raffadali,Agrigento,12 837,"22,30",420,84030,13.53109425,37.40489693
270,Ragalna,Catania,3 676,"39,53",830,87058,14.93914399,37.63012861
271,Ragusa,Ragusa,69 794,"444,67",502,88009,14.7306992,36.92509197
272,Ramacca,Catania,10 775,"306,44",270,87037,14.69378294,37.38487209
273,Randazzo,Catania,11 108,"205,62",765,87038,14.94605369,37.87790854
274,Ravanusa,Agrigento,12 128,"49,50",320,84031,13.97248171,37.26823623
275,Realmonte,Agrigento,4 487,"20,37",144,84032,13.46279155,37.30680567
276,Regalbuto,Enna,7 388,"170,29",520,86016,14.64079757,37.65262615
277,Reitano,Messina,829,"14,12",396,83070,14.34444665,37.97307659
278,Resuttano,Caltanissetta,2 139,"38,27",600,85014,14.03105327,37.68012807
279,Ribera,Agrigento,19 302,"118,52",223,84033,13.2686576,37.50382096
280,Riesi,Caltanissetta,11 814,"67,00",330,85015,14.08220646,37.28338286
281,Riposto,Catania,14 181,"13,25",8,87039,15.20383515,37.7318185
282,Roccafiorita,Messina,228,"1,17",723,83071,15.26846879,37.92987623
283,Roccalumera,Messina,4 105,"8,91",7,83072,15.39453262,37.97509309
284,Roccamena,Palermo,1 562,"33,72",480,82061,13.15530062,37.8385929
285,Roccapalumba,Palermo,2 634,"31,57",530,82062,13.6394537,37.80607308
286,Roccavaldina,Messina,1 149,"7,13",320,83073,15.37497616,38.18230046
287,Roccella Valdemone,Messina,711,"41,15",812,83074,15.0095185,37.93275497
288,Rodì Milici,Messina,2 130,"36,55",177,83075,15.16957002,38.11045739
289,Rometta,Messina,6 541,"32,12",590,83076,15.41549487,38.17265545
290,Rosolini,Siracusa,21 526,"76,47",154,89016,14.95353104,36.82034519
291,Salaparuta,Trapani,1 721,"41,42",171,81017,13.00627343,37.75697501
292,Salemi,Trapani,10 871,"182,42",446,81018,12.80150907,37.81600398
293,Sambuca di Sicilia,Agrigento,6 114,"96,37",350,84034,13.11072583,37.64742058
294,San Biagio Platani,Agrigento,3 501,"42,67",416,84035,13.52422822,37.50899211
295,San Cataldo,Caltanissetta,23 424,"72,78",625,85016,13.99047906,37.48716186
