Comune,Provincia,Popolazione,Superficie,Altitudine
Porto Empedocle,Agrigento,16 841,"25,23",2
Portopalo di Capo Passero,Siracusa,3 749,"15,09",20
Pozzallo,Ragusa,18 929,"15,38",20
Priolo Gargallo,Siracusa,12 167,"56,92",30
Prizzi,Palermo,5 055,"95,04",966
Racalmuto,Agrigento,8 345,"68,10",445
Raccuja,Messina,1 139,"25,20",640
Raddusa,Catania,3 280,"23,39",350
Raffadali,Agrigento,12 837,"22,30",420
Ragalna,Catania,3 676,"39,53",830
Ragusa,Ragusa,69 794,"444,67",502
Ramacca,Catania,10 775,"306,44",270
Randazzo,Catania,11 108,"205,62",765
Ravanusa,Agrigento,12 128,"49,50",320
Realmonte,Agrigento,4 487,"20,37",144
Regalbuto,Enna,7 388,"170,29",520
Reitano,Messina,829,"14,12",396
Resuttano,Caltanissetta,2 139,"38,27",600
Ribera,Agrigento,19 302,"118,52",223
Riesi,Caltanissetta,11 814,"67,00",330
Riposto,Catania,14 181,"13,25",8
Roccafiorita,Messina,228,"1,17",723
Roccalumera,Messina,4 105,"8,91",7
Roccamena,Palermo,1 562,"33,72",480
Roccapalumba,Palermo,2 634,"31,57",530
Roccavaldina,Messina,1 149,"7,13",320
Roccella Valdemone,Messina,711,"41,15",812
Rodì Milici,Messina,2 130,"36,55",177
Rometta,Messina,6 541,"32,12",590
Rosolini,Siracusa,21 526,"76,47",154
Salaparuta,Trapani,1 721,"41,42",171
Salemi,Trapani,10 871,"182,42",446
Sambuca di Sicilia,Agrigento,6 114,"96,37",350
San Biagio Platani,Agrigento,3 501,"42,67",416
San Cataldo,Caltanissetta,23 424,"72,78",625
San Cipirello,Palermo,5 478,"20,85",394
San Cono,Catania,2 790,"6,63",525
San Filippo del Mela,Messina,7 065,"10,05",123
San Fratello,Messina,3 942,"67,63",675
San Giovanni Gemini,Agrigento,8 127,"26,56",670
San Giovanni la Punta,Catania,22 049,"10,85",350
San Giuseppe Jato,Palermo,8 511,"29,78",467
San Gregorio di Catania,Catania,11 497,"5,65",321
San Marco d'Alunzio,Messina,2 083,"26,14",540
San Mauro Castelverde,Palermo,1 847,"114,37",1 050
San Michele di Ganzaria,Catania,3 463,"25,81",490
San Pier Niceto,Messina,2 911,"36,68",260
San Piero Patti,Messina,3 082,"41,82",448
San Pietro Clarenza,Catania,7 102,"6,27",463
San Salvatore di Fitalia,Messina,1 378,"15,00",603
San Teodoro,Messina,1 421,"13,97",1 150
San Vito Lo Capo,Trapani,4 415,"60,12",6
Sant'Agata di Militello,Messina,12 803,"33,98",30
Sant'Agata li Battiati,Catania,9 829,"3,12",320
Sant'Alessio Siculo,Messina,1 497,"6,17",15
Sant'Alfio,Catania,1 631,"25,86",531
Sant'Angelo di Brolo,Messina,3 297,"30,39",314
Sant'Angelo Muxaro,Agrigento,1 471,"64,52",335
Santa Caterina Villarmosa,Caltanissetta,5 727,"75,82",606
Santa Cristina Gela,Palermo,925,"38,74",674
Santa Croce Camerina,Ragusa,9 452,"41,09",87
Santa Domenica Vittoria,Messina,1 067,"20,16",1 027
Santa Elisabetta,Agrigento,2 608,"16,17",457
Santa Flavia,Palermo,10 751,"14,60",45
Santa Lucia del Mela,Messina,4 744,"85,68",215
Santa Margherita di Belice,Agrigento,6 544,"67,28",400
Santa Maria di Licodia,Catania,7 322,"26,28",442
Santa Marina Salina,Messina,892,"8,78",25
Santa Ninfa,Trapani,5 095,"60,94",410
Santa Teresa di Riva,Messina,9 240,"8,12",6
Santa Venerina,Catania,8 351,"19,03",337
Santo Stefano di Camastra,Messina,4 674,"21,92",70
Santo Stefano Quisquina,Agrigento,4 897,"85,52",730
Saponara,Messina,4 078,"26,26",160
Savoca,Messina,1 766,"9,08",303
Scaletta Zanclea,Messina,2 249,"4,76",12
Sciacca,Agrigento,40 899,"191,67",60
Sciara,Palermo,2 787,"31,19",210
Scicli,Ragusa,25 922,"138,72",106
Scillato,Palermo,627,"31,70",218
Sclafani Bagni,Palermo,450,"134,90",755
Scordia,Catania,17 185,"24,31",150
Serradifalco,Caltanissetta,6 265,"41,94",504
Siculiana,Agrigento,4 632,"40,99",129
Sinagra,Messina,2 760,"24,03",260
Siracusa,Siracusa,118 385,"207,78",17
Solarino,Siracusa,7 853,"13,02",165
Sommatino,Caltanissetta,7 267,"34,76",359
Sortino,Siracusa,8 907,"93,33",438
Spadafora,Messina,5 091,"10,52",6
Sperlinga,Enna,833,"59,14",750
Sutera,Caltanissetta,1 436,"35,58",590
Taormina,Messina,11 084,"13,13",204
Terme Vigliatore,Messina,7 213,"13,23",24
Termini Imerese,Palermo,26 201,"78,19",77
Terrasini,Palermo,11 985,"19,85",33
Torregrotta,Messina,7 426,"4,13",44
Torrenova,Messina,4 240,"12,93",10
Torretta,Palermo,4 141,"25,54",325
Tortorici,Messina,6 732,"70,50",468
Trabia,Palermo,10 360,"20,57",50
Trapani,Trapani,58 438,"199,44",3
Trappeto,Palermo,3 211,"4,19",25
Trecastagni,Catania,10 482,"19,16",586
Tremestieri Etneo,Catania,21 032,"6,52",400
Tripi,Messina,933,"54,67",450
Troina,Enna,9 628,"168,28",1 121
Tusa,Messina,3 051,"41,07",614
Ucria,Messina,1 105,"26,26",710
Ustica,Palermo,1 287,"8,24",49
Valderice,Trapani,11 951,"52,96",240
Valdina,Messina,1 352,"2,60",213
Valguarnera Caropepe,Enna,8 182,"9,41",590
Valledolmo,Palermo,3 747,"25,78",746
Vallelunga Pratameno,Caltanissetta,3 641,"39,37",472
Valverde,Catania,7 714,"5,52",305
Venetico,Messina,3 855,"4,52",227
Ventimiglia di Sicilia,Palermo,2 080,"26,90",540
Viagrande,Catania,8 155,"10,09",410
Vicari,Palermo,2 948,"86,01",700
Villabate,Palermo,19 819,"3,80",47
Villafranca Sicula,Agrigento,1 426,"17,63",330
Villafranca Tirrena,Messina,8 748,"14,25",22
Villafrati,Palermo,3 377,"25,64",450
Villalba,Caltanissetta,1 731,"41,82",620
Villarosa,Enna,5 130,"54,89",523
Vita,Trapani,2 139,"9,10",480
Vittoria,Ragusa,61 006,"182,48",168
Vizzini,Catania,6 409,"126,75",586
Zafferana Etnea,Catania,9 249,"76,87",574
